,variables
1588,card_Merch_num_zip_actual/max_0
1589,card_Merch_num_zip_actual/total_0
1590,card_Merch_num_zip_variability_avg_0
1591,card_Merch_num_zip_variability_min_0
1592,card_Merch_num_zip_variability_max_0
1593,card_Merch_num_zip_variability_cum_0
1594,card_Merch_num_zip_variability_std_0
1595,card_Merch_num_zip_count_1
1596,card_Merch_num_zip_avg_1
1597,card_Merch_num_zip_max_1
1598,card_Merch_num_zip_total_1
1599,card_Merch_num_zip_std_1
1600,card_Merch_num_zip_actual/avg_1
1601,card_Merch_num_zip_actual/max_1
1602,card_Merch_num_zip_actual/total_1
1603,card_Merch_num_zip_variability_avg_1
1604,card_Merch_num_zip_variability_min_1
1605,card_Merch_num_zip_variability_max_1
1606,card_Merch_num_zip_variability_cum_1
1607,card_Merch_num_zip_variability_std_1
1608,card_Merch_num_zip_count_3
1609,card_Merch_num_zip_avg_3
1610,card_Merch_num_zip_max_3
1611,card_Merch_num_zip_total_3
1612,card_Merch_num_zip_std_3
1613,card_Merch_num_zip_actual/avg_3
1614,card_Merch_num_zip_actual/max_3
1615,card_Merch_num_zip_actual/total_3
1616,card_Merch_num_zip_variability_avg_3
1617,card_Merch_num_zip_variability_min_3
1618,card_Merch_num_zip_variability_max_3
1619,card_Merch_num_zip_variability_cum_3
1620,card_Merch_num_zip_variability_std_3
1621,card_Merch_num_zip_count_7
1622,card_Merch_num_zip_avg_7
1623,card_Merch_num_zip_max_7
1624,card_Merch_num_zip_total_7
1625,card_Merch_num_zip_std_7
1626,card_Merch_num_zip_actual/avg_7
1627,card_Merch_num_zip_actual/max_7
1628,card_Merch_num_zip_actual/total_7
1629,card_Merch_num_zip_variability_avg_7
1630,card_Merch_num_zip_variability_min_7
1631,card_Merch_num_zip_variability_max_7
1632,card_Merch_num_zip_variability_cum_7
1633,card_Merch_num_zip_variability_std_7
1634,card_Merch_num_zip_count_14
1635,card_Merch_num_zip_avg_14
1636,card_Merch_num_zip_max_14
1637,card_Merch_num_zip_total_14
1638,card_Merch_num_zip_std_14
1639,card_Merch_num_zip_actual/avg_14
1640,card_Merch_num_zip_actual/max_14
1641,card_Merch_num_zip_actual/total_14
1642,card_Merch_num_zip_variability_avg_14
1643,card_Merch_num_zip_variability_min_14
1644,card_Merch_num_zip_variability_max_14
1645,card_Merch_num_zip_variability_cum_14
1646,card_Merch_num_zip_variability_std_14
1647,card_Merch_num_zip_count_30
1648,card_Merch_num_zip_avg_30
1649,card_Merch_num_zip_max_30
1650,card_Merch_num_zip_total_30
1651,card_Merch_num_zip_std_30
1652,card_Merch_num_zip_actual/avg_30
1653,card_Merch_num_zip_actual/max_30
1654,card_Merch_num_zip_actual/total_30
1655,card_Merch_num_zip_variability_avg_30
1656,card_Merch_num_zip_variability_min_30
1657,card_Merch_num_zip_variability_max_30
1658,card_Merch_num_zip_variability_cum_30
1659,card_Merch_num_zip_variability_std_30
1660,card_Merch_des_state_day_since
1661,card_Merch_des_state_count_0
1662,card_Merch_des_state_avg_0
1663,card_Merch_des_state_max_0
1664,card_Merch_des_state_total_0
1665,card_Merch_des_state_std_0
1666,card_Merch_des_state_actual/avg_0
1667,card_Merch_des_state_actual/max_0
1668,card_Merch_des_state_actual/total_0
1669,card_Merch_des_state_variability_avg_0
1670,card_Merch_des_state_variability_min_0
1671,card_Merch_des_state_variability_max_0
1672,card_Merch_des_state_variability_cum_0
1673,card_Merch_des_state_variability_std_0
1674,card_Merch_des_state_count_1
1675,card_Merch_des_state_avg_1
1676,card_Merch_des_state_max_1
1677,card_Merch_des_state_total_1
1678,card_Merch_des_state_std_1
1679,card_Merch_des_state_actual/avg_1
1680,card_Merch_des_state_actual/max_1
1681,card_Merch_des_state_actual/total_1
1682,card_Merch_des_state_variability_avg_1
1683,card_Merch_des_state_variability_min_1
1684,card_Merch_des_state_variability_max_1
1685,card_Merch_des_state_variability_cum_1
1686,card_Merch_des_state_variability_std_1
1687,card_Merch_des_state_count_3
1688,card_Merch_des_state_avg_3
1689,card_Merch_des_state_max_3
1690,card_Merch_des_state_total_3
1691,card_Merch_des_state_std_3
1692,card_Merch_des_state_actual/avg_3
1693,card_Merch_des_state_actual/max_3
1694,card_Merch_des_state_actual/total_3
1695,card_Merch_des_state_variability_avg_3
1696,card_Merch_des_state_variability_min_3
1697,card_Merch_des_state_variability_max_3
1698,card_Merch_des_state_variability_cum_3
1699,card_Merch_des_state_variability_std_3
1700,card_Merch_des_state_count_7
1701,card_Merch_des_state_avg_7
1702,card_Merch_des_state_max_7
1703,card_Merch_des_state_total_7
1704,card_Merch_des_state_std_7
1705,card_Merch_des_state_actual/avg_7
1706,card_Merch_des_state_actual/max_7
1707,card_Merch_des_state_actual/total_7
1708,card_Merch_des_state_variability_avg_7
1709,card_Merch_des_state_variability_min_7
1710,card_Merch_des_state_variability_max_7
1711,card_Merch_des_state_variability_cum_7
1712,card_Merch_des_state_variability_std_7
1713,card_Merch_des_state_count_14
1714,card_Merch_des_state_avg_14
1715,card_Merch_des_state_max_14
1716,card_Merch_des_state_total_14
1717,card_Merch_des_state_std_14
1718,card_Merch_des_state_actual/avg_14
1719,card_Merch_des_state_actual/max_14
1720,card_Merch_des_state_actual/total_14
1721,card_Merch_des_state_variability_avg_14
1722,card_Merch_des_state_variability_min_14
1723,card_Merch_des_state_variability_max_14
1724,card_Merch_des_state_variability_cum_14
1725,card_Merch_des_state_variability_std_14
1726,card_Merch_des_state_count_30
1727,card_Merch_des_state_avg_30
1728,card_Merch_des_state_max_30
1729,card_Merch_des_state_total_30
1730,card_Merch_des_state_std_30
1731,card_Merch_des_state_actual/avg_30
1732,card_Merch_des_state_actual/max_30
1733,card_Merch_des_state_actual/total_30
1734,card_Merch_des_state_variability_avg_30
1735,card_Merch_des_state_variability_min_30
1736,card_Merch_des_state_variability_max_30
1737,card_Merch_des_state_variability_cum_30
1738,card_Merch_des_state_variability_std_30
1739,card_Merch_des_zip_day_since
1740,card_Merch_des_zip_count_0
1741,card_Merch_des_zip_avg_0
1742,card_Merch_des_zip_max_0
1743,card_Merch_des_zip_total_0
1744,card_Merch_des_zip_std_0
1745,card_Merch_des_zip_actual/avg_0
1746,card_Merch_des_zip_actual/max_0
1747,card_Merch_des_zip_actual/total_0
1748,card_Merch_des_zip_variability_avg_0
1749,card_Merch_des_zip_variability_min_0
1750,card_Merch_des_zip_variability_max_0
1751,card_Merch_des_zip_variability_cum_0
1752,card_Merch_des_zip_variability_std_0
1753,card_Merch_des_zip_count_1
1754,card_Merch_des_zip_avg_1
1755,card_Merch_des_zip_max_1
1756,card_Merch_des_zip_total_1
1757,card_Merch_des_zip_std_1
1758,card_Merch_des_zip_actual/avg_1
1759,card_Merch_des_zip_actual/max_1
1760,card_Merch_des_zip_actual/total_1
1761,card_Merch_des_zip_variability_avg_1
1762,card_Merch_des_zip_variability_min_1
1763,card_Merch_des_zip_variability_max_1
1764,card_Merch_des_zip_variability_cum_1
1765,card_Merch_des_zip_variability_std_1
1766,card_Merch_des_zip_count_3
1767,card_Merch_des_zip_avg_3
1768,card_Merch_des_zip_max_3
1769,card_Merch_des_zip_total_3
1770,card_Merch_des_zip_std_3
1771,card_Merch_des_zip_actual/avg_3
1772,card_Merch_des_zip_actual/max_3
1773,card_Merch_des_zip_actual/total_3
1774,card_Merch_des_zip_variability_avg_3
1775,card_Merch_des_zip_variability_min_3
1776,card_Merch_des_zip_variability_max_3
1777,card_Merch_des_zip_variability_cum_3
1778,card_Merch_des_zip_variability_std_3
1779,card_Merch_des_zip_count_7
1780,card_Merch_des_zip_avg_7
1781,card_Merch_des_zip_max_7
1782,card_Merch_des_zip_total_7
1783,card_Merch_des_zip_std_7
1784,card_Merch_des_zip_actual/avg_7
1785,card_Merch_des_zip_actual/max_7
1786,card_Merch_des_zip_actual/total_7
1787,card_Merch_des_zip_variability_avg_7
1788,card_Merch_des_zip_variability_min_7
1789,card_Merch_des_zip_variability_max_7
1790,card_Merch_des_zip_variability_cum_7
1791,card_Merch_des_zip_variability_std_7
1792,card_Merch_des_zip_count_14
1793,card_Merch_des_zip_avg_14
1794,card_Merch_des_zip_max_14
1795,card_Merch_des_zip_total_14
1796,card_Merch_des_zip_std_14
1797,card_Merch_des_zip_actual/avg_14
1798,card_Merch_des_zip_actual/max_14
1799,card_Merch_des_zip_actual/total_14
1800,card_Merch_des_zip_variability_avg_14
1801,card_Merch_des_zip_variability_min_14
1802,card_Merch_des_zip_variability_max_14
1803,card_Merch_des_zip_variability_cum_14
1804,card_Merch_des_zip_variability_std_14
1805,card_Merch_des_zip_count_30
1806,card_Merch_des_zip_avg_30
1807,card_Merch_des_zip_max_30
1808,card_Merch_des_zip_total_30
1809,card_Merch_des_zip_std_30
1810,card_Merch_des_zip_actual/avg_30
1811,card_Merch_des_zip_actual/max_30
1812,card_Merch_des_zip_actual/total_30
1813,card_Merch_des_zip_variability_avg_30
1814,card_Merch_des_zip_variability_min_30
1815,card_Merch_des_zip_variability_max_30
1816,card_Merch_des_zip_variability_cum_30
1817,card_Merch_des_zip_variability_std_30
1818,card_Merch_state_zip_day_since
1819,card_Merch_state_zip_count_0
1820,card_Merch_state_zip_avg_0
1821,card_Merch_state_zip_max_0
1822,card_Merch_state_zip_total_0
1823,card_Merch_state_zip_std_0
1824,card_Merch_state_zip_actual/avg_0
1825,card_Merch_state_zip_actual/max_0
1826,card_Merch_state_zip_actual/total_0
1827,card_Merch_state_zip_variability_avg_0
1828,card_Merch_state_zip_variability_min_0
1829,card_Merch_state_zip_variability_max_0
1830,card_Merch_state_zip_variability_cum_0
1831,card_Merch_state_zip_variability_std_0
1832,card_Merch_state_zip_count_1
1833,card_Merch_state_zip_avg_1
1834,card_Merch_state_zip_max_1
1835,card_Merch_state_zip_total_1
1836,card_Merch_state_zip_std_1
1837,card_Merch_state_zip_actual/avg_1
1838,card_Merch_state_zip_actual/max_1
1839,card_Merch_state_zip_actual/total_1
1840,card_Merch_state_zip_variability_avg_1
1841,card_Merch_state_zip_variability_min_1
1842,card_Merch_state_zip_variability_max_1
1843,card_Merch_state_zip_variability_cum_1
1844,card_Merch_state_zip_variability_std_1
1845,card_Merch_state_zip_count_3
1846,card_Merch_state_zip_avg_3
1847,card_Merch_state_zip_max_3
1848,card_Merch_state_zip_total_3
1849,card_Merch_state_zip_std_3
1850,card_Merch_state_zip_actual/avg_3
1851,card_Merch_state_zip_actual/max_3
1852,card_Merch_state_zip_actual/total_3
1853,card_Merch_state_zip_variability_avg_3
1854,card_Merch_state_zip_variability_min_3
1855,card_Merch_state_zip_variability_max_3
1856,card_Merch_state_zip_variability_cum_3
1857,card_Merch_state_zip_variability_std_3
1858,card_Merch_state_zip_count_7
1859,card_Merch_state_zip_avg_7
1860,card_Merch_state_zip_max_7
1861,card_Merch_state_zip_total_7
1862,card_Merch_state_zip_std_7
1863,card_Merch_state_zip_actual/avg_7
1864,card_Merch_state_zip_actual/max_7
1865,card_Merch_state_zip_actual/total_7
1866,card_Merch_state_zip_variability_avg_7
1867,card_Merch_state_zip_variability_min_7
1868,card_Merch_state_zip_variability_max_7
1869,card_Merch_state_zip_variability_cum_7
1870,card_Merch_state_zip_variability_std_7
1871,card_Merch_state_zip_count_14
1872,card_Merch_state_zip_avg_14
1873,card_Merch_state_zip_max_14
1874,card_Merch_state_zip_total_14
1875,card_Merch_state_zip_std_14
1876,card_Merch_state_zip_actual/avg_14
1877,card_Merch_state_zip_actual/max_14
1878,card_Merch_state_zip_actual/total_14
1879,card_Merch_state_zip_variability_avg_14
1880,card_Merch_state_zip_variability_min_14
1881,card_Merch_state_zip_variability_max_14
1882,card_Merch_state_zip_variability_cum_14
1883,card_Merch_state_zip_variability_std_14
1884,card_Merch_state_zip_count_30
1885,card_Merch_state_zip_avg_30
1886,card_Merch_state_zip_max_30
1887,card_Merch_state_zip_total_30
1888,card_Merch_state_zip_std_30
1889,card_Merch_state_zip_actual/avg_30
1890,card_Merch_state_zip_actual/max_30
1891,card_Merch_state_zip_actual/total_30
1892,card_Merch_state_zip_variability_avg_30
1893,card_Merch_state_zip_variability_min_30
1894,card_Merch_state_zip_variability_max_30
1895,card_Merch_state_zip_variability_cum_30
1896,card_Merch_state_zip_variability_std_30
1897,card_Merch_num_des_state_day_since
1898,card_Merch_num_des_state_count_0
1899,card_Merch_num_des_state_avg_0
1900,card_Merch_num_des_state_max_0
1901,card_Merch_num_des_state_total_0
1902,card_Merch_num_des_state_std_0
1903,card_Merch_num_des_state_actual/avg_0
1904,card_Merch_num_des_state_actual/max_0
1905,card_Merch_num_des_state_actual/total_0
1906,card_Merch_num_des_state_variability_avg_0
1907,card_Merch_num_des_state_variability_min_0
1908,card_Merch_num_des_state_variability_max_0
1909,card_Merch_num_des_state_variability_cum_0
1910,card_Merch_num_des_state_variability_std_0
1911,card_Merch_num_des_state_count_1
1912,card_Merch_num_des_state_avg_1
1913,card_Merch_num_des_state_max_1
1914,card_Merch_num_des_state_total_1
1915,card_Merch_num_des_state_std_1
1916,card_Merch_num_des_state_actual/avg_1
1917,card_Merch_num_des_state_actual/max_1
1918,card_Merch_num_des_state_actual/total_1
1919,card_Merch_num_des_state_variability_avg_1
1920,card_Merch_num_des_state_variability_min_1
1921,card_Merch_num_des_state_variability_max_1
1922,card_Merch_num_des_state_variability_cum_1
1923,card_Merch_num_des_state_variability_std_1
1924,card_Merch_num_des_state_count_3
1925,card_Merch_num_des_state_avg_3
1926,card_Merch_num_des_state_max_3
1927,card_Merch_num_des_state_total_3
1928,card_Merch_num_des_state_std_3
1929,card_Merch_num_des_state_actual/avg_3
1930,card_Merch_num_des_state_actual/max_3
1931,card_Merch_num_des_state_actual/total_3
1932,card_Merch_num_des_state_variability_avg_3
1933,card_Merch_num_des_state_variability_min_3
1934,card_Merch_num_des_state_variability_max_3
1935,card_Merch_num_des_state_variability_cum_3
1936,card_Merch_num_des_state_variability_std_3
1937,card_Merch_num_des_state_count_7
1938,card_Merch_num_des_state_avg_7
1939,card_Merch_num_des_state_max_7
1940,card_Merch_num_des_state_total_7
1941,card_Merch_num_des_state_std_7
1942,card_Merch_num_des_state_actual/avg_7
1943,card_Merch_num_des_state_actual/max_7
1944,card_Merch_num_des_state_actual/total_7
1945,card_Merch_num_des_state_variability_avg_7
1946,card_Merch_num_des_state_variability_min_7
1947,card_Merch_num_des_state_variability_max_7
1948,card_Merch_num_des_state_variability_cum_7
1949,card_Merch_num_des_state_variability_std_7
1950,card_Merch_num_des_state_count_14
1951,card_Merch_num_des_state_avg_14
1952,card_Merch_num_des_state_max_14
1953,card_Merch_num_des_state_total_14
1954,card_Merch_num_des_state_std_14
1955,card_Merch_num_des_state_actual/avg_14
1956,card_Merch_num_des_state_actual/max_14
1957,card_Merch_num_des_state_actual/total_14
1958,card_Merch_num_des_state_variability_avg_14
1959,card_Merch_num_des_state_variability_min_14
1960,card_Merch_num_des_state_variability_max_14
1961,card_Merch_num_des_state_variability_cum_14
1962,card_Merch_num_des_state_variability_std_14
1963,card_Merch_num_des_state_count_30
1964,card_Merch_num_des_state_avg_30
1965,card_Merch_num_des_state_max_30
1966,card_Merch_num_des_state_total_30
1967,card_Merch_num_des_state_std_30
1968,card_Merch_num_des_state_actual/avg_30
1969,card_Merch_num_des_state_actual/max_30
1970,card_Merch_num_des_state_actual/total_30
1971,card_Merch_num_des_state_variability_avg_30
1972,card_Merch_num_des_state_variability_min_30
1973,card_Merch_num_des_state_variability_max_30
1974,card_Merch_num_des_state_variability_cum_30
1975,card_Merch_num_des_state_variability_std_30
1976,card_Merch_num_des_zip_day_since
1977,card_Merch_num_des_zip_count_0
1978,card_Merch_num_des_zip_avg_0
1979,card_Merch_num_des_zip_max_0
1980,card_Merch_num_des_zip_total_0
1981,card_Merch_num_des_zip_std_0
1982,card_Merch_num_des_zip_actual/avg_0
1983,card_Merch_num_des_zip_actual/max_0
1984,card_Merch_num_des_zip_actual/total_0
1985,card_Merch_num_des_zip_variability_avg_0
1986,card_Merch_num_des_zip_variability_min_0
1987,card_Merch_num_des_zip_variability_max_0
1988,card_Merch_num_des_zip_variability_cum_0
1989,card_Merch_num_des_zip_variability_std_0
1990,card_Merch_num_des_zip_count_1
1991,card_Merch_num_des_zip_avg_1
1992,card_Merch_num_des_zip_max_1
1993,card_Merch_num_des_zip_total_1
1994,card_Merch_num_des_zip_std_1
1995,card_Merch_num_des_zip_actual/avg_1
1996,card_Merch_num_des_zip_actual/max_1
1997,card_Merch_num_des_zip_actual/total_1
1998,card_Merch_num_des_zip_variability_avg_1
1999,card_Merch_num_des_zip_variability_min_1
2000,card_Merch_num_des_zip_variability_max_1
2001,card_Merch_num_des_zip_variability_cum_1
2002,card_Merch_num_des_zip_variability_std_1
2003,card_Merch_num_des_zip_count_3
2004,card_Merch_num_des_zip_avg_3
2005,card_Merch_num_des_zip_max_3
2006,card_Merch_num_des_zip_total_3
2007,card_Merch_num_des_zip_std_3
2008,card_Merch_num_des_zip_actual/avg_3
2009,card_Merch_num_des_zip_actual/max_3
2010,card_Merch_num_des_zip_actual/total_3
2011,card_Merch_num_des_zip_variability_avg_3
2012,card_Merch_num_des_zip_variability_min_3
2013,card_Merch_num_des_zip_variability_max_3
2014,card_Merch_num_des_zip_variability_cum_3
2015,card_Merch_num_des_zip_variability_std_3
2016,card_Merch_num_des_zip_count_7
2017,card_Merch_num_des_zip_avg_7
2018,card_Merch_num_des_zip_max_7
2019,card_Merch_num_des_zip_total_7
2020,card_Merch_num_des_zip_std_7
2021,card_Merch_num_des_zip_actual/avg_7
2022,card_Merch_num_des_zip_actual/max_7
2023,card_Merch_num_des_zip_actual/total_7
2024,card_Merch_num_des_zip_variability_avg_7
2025,card_Merch_num_des_zip_variability_min_7
2026,card_Merch_num_des_zip_variability_max_7
2027,card_Merch_num_des_zip_variability_cum_7
2028,card_Merch_num_des_zip_variability_std_7
2029,card_Merch_num_des_zip_count_14
2030,card_Merch_num_des_zip_avg_14
2031,card_Merch_num_des_zip_max_14
2032,card_Merch_num_des_zip_total_14
2033,card_Merch_num_des_zip_std_14
2034,card_Merch_num_des_zip_actual/avg_14
2035,card_Merch_num_des_zip_actual/max_14
2036,card_Merch_num_des_zip_actual/total_14
2037,card_Merch_num_des_zip_variability_avg_14
2038,card_Merch_num_des_zip_variability_min_14
2039,card_Merch_num_des_zip_variability_max_14
2040,card_Merch_num_des_zip_variability_cum_14
2041,card_Merch_num_des_zip_variability_std_14
2042,card_Merch_num_des_zip_count_30
2043,card_Merch_num_des_zip_avg_30
2044,card_Merch_num_des_zip_max_30
2045,card_Merch_num_des_zip_total_30
2046,card_Merch_num_des_zip_std_30
2047,card_Merch_num_des_zip_actual/avg_30
2048,card_Merch_num_des_zip_actual/max_30
2049,card_Merch_num_des_zip_actual/total_30
2050,card_Merch_num_des_zip_variability_avg_30
2051,card_Merch_num_des_zip_variability_min_30
2052,card_Merch_num_des_zip_variability_max_30
2053,card_Merch_num_des_zip_variability_cum_30
2054,card_Merch_num_des_zip_variability_std_30
2055,card_Merch_num_state_zip_day_since
2056,card_Merch_num_state_zip_count_0
2057,card_Merch_num_state_zip_avg_0
2058,card_Merch_num_state_zip_max_0
2059,card_Merch_num_state_zip_total_0
2060,card_Merch_num_state_zip_std_0
2061,card_Merch_num_state_zip_actual/avg_0
2062,card_Merch_num_state_zip_actual/max_0
2063,card_Merch_num_state_zip_actual/total_0
2064,card_Merch_num_state_zip_variability_avg_0
2065,card_Merch_num_state_zip_variability_min_0
2066,card_Merch_num_state_zip_variability_max_0
2067,card_Merch_num_state_zip_variability_cum_0
2068,card_Merch_num_state_zip_variability_std_0
2069,card_Merch_num_state_zip_count_1
2070,card_Merch_num_state_zip_avg_1
2071,card_Merch_num_state_zip_max_1
2072,card_Merch_num_state_zip_total_1
2073,card_Merch_num_state_zip_std_1
2074,card_Merch_num_state_zip_actual/avg_1
2075,card_Merch_num_state_zip_actual/max_1
2076,card_Merch_num_state_zip_actual/total_1
2077,card_Merch_num_state_zip_variability_avg_1
2078,card_Merch_num_state_zip_variability_min_1
2079,card_Merch_num_state_zip_variability_max_1
2080,card_Merch_num_state_zip_variability_cum_1
2081,card_Merch_num_state_zip_variability_std_1
2082,card_Merch_num_state_zip_count_3
2083,card_Merch_num_state_zip_avg_3
2084,card_Merch_num_state_zip_max_3
2085,card_Merch_num_state_zip_total_3
2086,card_Merch_num_state_zip_std_3
2087,card_Merch_num_state_zip_actual/avg_3
2088,card_Merch_num_state_zip_actual/max_3
2089,card_Merch_num_state_zip_actual/total_3
2090,card_Merch_num_state_zip_variability_avg_3
2091,card_Merch_num_state_zip_variability_min_3
2092,card_Merch_num_state_zip_variability_max_3
2093,card_Merch_num_state_zip_variability_cum_3
2094,card_Merch_num_state_zip_variability_std_3
2095,card_Merch_num_state_zip_count_7
2096,card_Merch_num_state_zip_avg_7
2097,card_Merch_num_state_zip_max_7
2098,card_Merch_num_state_zip_total_7
2099,card_Merch_num_state_zip_std_7
2100,card_Merch_num_state_zip_actual/avg_7
2101,card_Merch_num_state_zip_actual/max_7
2102,card_Merch_num_state_zip_actual/total_7
2103,card_Merch_num_state_zip_variability_avg_7
2104,card_Merch_num_state_zip_variability_min_7
2105,card_Merch_num_state_zip_variability_max_7
2106,card_Merch_num_state_zip_variability_cum_7
2107,card_Merch_num_state_zip_variability_std_7
2108,card_Merch_num_state_zip_count_14
2109,card_Merch_num_state_zip_avg_14
2110,card_Merch_num_state_zip_max_14
2111,card_Merch_num_state_zip_total_14
2112,card_Merch_num_state_zip_std_14
2113,card_Merch_num_state_zip_actual/avg_14
2114,card_Merch_num_state_zip_actual/max_14
2115,card_Merch_num_state_zip_actual/total_14
2116,card_Merch_num_state_zip_variability_avg_14
2117,card_Merch_num_state_zip_variability_min_14
2118,card_Merch_num_state_zip_variability_max_14
2119,card_Merch_num_state_zip_variability_cum_14
2120,card_Merch_num_state_zip_variability_std_14
2121,card_Merch_num_state_zip_count_30
2122,card_Merch_num_state_zip_avg_30
2123,card_Merch_num_state_zip_max_30
2124,card_Merch_num_state_zip_total_30
2125,card_Merch_num_state_zip_std_30
2126,card_Merch_num_state_zip_actual/avg_30
2127,card_Merch_num_state_zip_actual/max_30
2128,card_Merch_num_state_zip_actual/total_30
2129,card_Merch_num_state_zip_variability_avg_30
2130,card_Merch_num_state_zip_variability_min_30
2131,card_Merch_num_state_zip_variability_max_30
2132,card_Merch_num_state_zip_variability_cum_30
2133,card_Merch_num_state_zip_variability_std_30
2134,card_Merch_des_state_zip_day_since
2135,card_Merch_des_state_zip_count_0
2136,card_Merch_des_state_zip_avg_0
2137,card_Merch_des_state_zip_max_0
2138,card_Merch_des_state_zip_total_0
2139,card_Merch_des_state_zip_std_0
2140,card_Merch_des_state_zip_actual/avg_0
2141,card_Merch_des_state_zip_actual/max_0
2142,card_Merch_des_state_zip_actual/total_0
2143,card_Merch_des_state_zip_variability_avg_0
2144,card_Merch_des_state_zip_variability_min_0
2145,card_Merch_des_state_zip_variability_max_0
2146,card_Merch_des_state_zip_variability_cum_0
2147,card_Merch_des_state_zip_variability_std_0
2148,card_Merch_des_state_zip_count_1
2149,card_Merch_des_state_zip_avg_1
2150,card_Merch_des_state_zip_max_1
2151,card_Merch_des_state_zip_total_1
2152,card_Merch_des_state_zip_std_1
2153,card_Merch_des_state_zip_actual/avg_1
2154,card_Merch_des_state_zip_actual/max_1
2155,card_Merch_des_state_zip_actual/total_1
2156,card_Merch_des_state_zip_variability_avg_1
2157,card_Merch_des_state_zip_variability_min_1
2158,card_Merch_des_state_zip_variability_max_1
2159,card_Merch_des_state_zip_variability_cum_1
2160,card_Merch_des_state_zip_variability_std_1
2161,card_Merch_des_state_zip_count_3
2162,card_Merch_des_state_zip_avg_3
2163,card_Merch_des_state_zip_max_3
2164,card_Merch_des_state_zip_total_3
2165,card_Merch_des_state_zip_std_3
2166,card_Merch_des_state_zip_actual/avg_3
2167,card_Merch_des_state_zip_actual/max_3
2168,card_Merch_des_state_zip_actual/total_3
2169,card_Merch_des_state_zip_variability_avg_3
2170,card_Merch_des_state_zip_variability_min_3
2171,card_Merch_des_state_zip_variability_max_3
2172,card_Merch_des_state_zip_variability_cum_3
2173,card_Merch_des_state_zip_variability_std_3
2174,card_Merch_des_state_zip_count_7
2175,card_Merch_des_state_zip_avg_7
2176,card_Merch_des_state_zip_max_7
2177,card_Merch_des_state_zip_total_7
2178,card_Merch_des_state_zip_std_7
2179,card_Merch_des_state_zip_actual/avg_7
2180,card_Merch_des_state_zip_actual/max_7
2181,card_Merch_des_state_zip_actual/total_7
2182,card_Merch_des_state_zip_variability_avg_7
2183,card_Merch_des_state_zip_variability_min_7
2184,card_Merch_des_state_zip_variability_max_7
2185,card_Merch_des_state_zip_variability_cum_7
2186,card_Merch_des_state_zip_variability_std_7
2187,card_Merch_des_state_zip_count_14
2188,card_Merch_des_state_zip_avg_14
2189,card_Merch_des_state_zip_max_14
2190,card_Merch_des_state_zip_total_14
2191,card_Merch_des_state_zip_std_14
2192,card_Merch_des_state_zip_actual/avg_14
2193,card_Merch_des_state_zip_actual/max_14
2194,card_Merch_des_state_zip_actual/total_14
2195,card_Merch_des_state_zip_variability_avg_14
2196,card_Merch_des_state_zip_variability_min_14
2197,card_Merch_des_state_zip_variability_max_14
2198,card_Merch_des_state_zip_variability_cum_14
2199,card_Merch_des_state_zip_variability_std_14
2200,card_Merch_des_state_zip_count_30
2201,card_Merch_des_state_zip_avg_30
2202,card_Merch_des_state_zip_max_30
2203,card_Merch_des_state_zip_total_30
2204,card_Merch_des_state_zip_std_30
2205,card_Merch_des_state_zip_actual/avg_30
2206,card_Merch_des_state_zip_actual/max_30
2207,card_Merch_des_state_zip_actual/total_30
2208,card_Merch_des_state_zip_variability_avg_30
2209,card_Merch_des_state_zip_variability_min_30
2210,card_Merch_des_state_zip_variability_max_30
2211,card_Merch_des_state_zip_variability_cum_30
2212,card_Merch_des_state_zip_variability_std_30
2213,card_Merch_all_info_day_since
2214,card_Merch_all_info_count_0
2215,card_Merch_all_info_avg_0
2216,card_Merch_all_info_max_0
2217,card_Merch_all_info_total_0
2218,card_Merch_all_info_std_0
2219,card_Merch_all_info_actual/avg_0
2220,card_Merch_all_info_actual/max_0
2221,card_Merch_all_info_actual/total_0
2222,card_Merch_all_info_variability_avg_0
2223,card_Merch_all_info_variability_min_0
2224,card_Merch_all_info_variability_max_0
2225,card_Merch_all_info_variability_cum_0
2226,card_Merch_all_info_variability_std_0
2227,card_Merch_all_info_count_1
2228,card_Merch_all_info_avg_1
2229,card_Merch_all_info_max_1
2230,card_Merch_all_info_total_1
2231,card_Merch_all_info_std_1
2232,card_Merch_all_info_actual/avg_1
2233,card_Merch_all_info_actual/max_1
2234,card_Merch_all_info_actual/total_1
2235,card_Merch_all_info_variability_avg_1
2236,card_Merch_all_info_variability_min_1
2237,card_Merch_all_info_variability_max_1
2238,card_Merch_all_info_variability_cum_1
2239,card_Merch_all_info_variability_std_1
2240,card_Merch_all_info_count_3
2241,card_Merch_all_info_avg_3
2242,card_Merch_all_info_max_3
2243,card_Merch_all_info_total_3
2244,card_Merch_all_info_std_3
2245,card_Merch_all_info_actual/avg_3
2246,card_Merch_all_info_actual/max_3
2247,card_Merch_all_info_actual/total_3
2248,card_Merch_all_info_variability_avg_3
2249,card_Merch_all_info_variability_min_3
2250,card_Merch_all_info_variability_max_3
2251,card_Merch_all_info_variability_cum_3
2252,card_Merch_all_info_variability_std_3
2253,card_Merch_all_info_count_7
2254,card_Merch_all_info_avg_7
2255,card_Merch_all_info_max_7
2256,card_Merch_all_info_total_7
2257,card_Merch_all_info_std_7
2258,card_Merch_all_info_actual/avg_7
2259,card_Merch_all_info_actual/max_7
2260,card_Merch_all_info_actual/total_7
2261,card_Merch_all_info_variability_avg_7
